year,Treatment,X,quad,trackID,age,distEdgeMin,allEdge,QuadName,Grazing,Group,area.t0,logarea.t0,logarea.t1,species,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,Period,Treatment2,Treatment3,VWC_fall,VWC_spring,VWC_summer,TAVG_fall,TAVG_spring,TAVG_summer
1926,Control,1022,Q8,104,4,24.3050722658808,0,P1 E1 Q2,no,P1E1,4.48072405260369,1.49978465225272,3.81559026418997,ARTR,0,0,1.57597695603545,1.33759253430088,0.192579825798881,0.00143,Historical,Control,Control,9.687363107709272,17.386703859239848,9.740117669666448,6.083466533466534,4.41358695652174,17.305212450592887
1926,Control,1021,Q8,103,4,5.65156285733657,0,P1 E1 Q2,no,P1E1,61.5165944608656,4.11930696704724,4.92648590965155,ARTR,7.37499999999917e-4,9.4751697294647e-5,0,1.59048077222431,2.19316833037356,0.54426,Historical,Control,Control,9.687363107709272,17.386703859239848,9.740117669666448,6.083466533466534,4.41358695652174,17.305212450592887
1926,Control,421,Q20,54,1,30.312254254198,0,P7 E1 Q2,no,P7E1,2.63630277417432,0.969377471263609,4.09760353828129,ARTR,0.0272546802575126,0,1.10359727985556e-4,34.5020091653722,0.097258355918347,0.01695,Historical,Control,Control,9.687363107709272,17.386703859239848,9.740117669666448,6.083466533466534,4.41358695652174,17.305212450592887
1926,Control,1020,Q8,102,4,4.9583831614095,0,P1 E1 Q2,no,P1E1,0.75,-0.287682072451781,3.57943603482135,ARTR,0,0,0,14.5427898508587,0.00101807433742362,0.18751,Historical,Control,Control,9.687363107709272,17.386703859239848,9.740117669666448,6.083466533466534,4.41358695652174,17.305212450592887
1926,Control,420,Q20,48,4,1.26042141410184,0,P7 E1 Q2,no,P7E1,37.0998514245536,3.61361296487636,5.05731515415607,ARTR,7.64259766583564e-16,0,0,53.257858426661,0.00765647547626484,3e-5,Historical,Control,Control,9.687363107709272,17.386703859239848,9.740117669666448,6.083466533466534,4.41358695652174,17.305212450592887
1929,Control,983,Q7,104,1,4.62462113215136,0,P1 E1 Q1,no,P1E1,14.7119721347074,2.68866159324826,3.20705974058659,ARTR,4.2632564145606e-14,2.40867220885076,0,0.0107705860571916,0.0245899468835711,0.02204,Historical,Control,Control,11.529446488046784,12.315688427482364,10.486805245792452,3.670879120879121,6.959239130434782,17.366304347826087
1929,Control,980,Q7,101,7,9.1777988875219,0,P1 E1 Q1,no,P1E1,113.442995605148,4.73130046939168,4.98873406255853,ARTR,0.0148803530398762,0,0.364725446789454,0.00147813994368702,7.6275471292262,1.29593,Historical,Control,Control,11.529446488046784,12.315688427482364,10.486805245792452,3.670879120879121,6.959239130434782,17.366304347826087
1929,Control,422,Q20,48,7,1.30154376165592e-8,0,P7 E1 Q2,no,P7E1,215.131238246178,5.37124825235032,5.35716182295637,ARTR,5.86908299737843e-16,0,0.0160269123296549,5.71007412640998,0.415672519472492,0.00482,Historical,Control,Control,11.529446488046784,12.315688427482364,10.486805245792452,3.670879120879121,6.959239130434782,17.366304347826087
1929,Control,423,Q20,49,7,30.6717738031041,0,P7 E1 Q2,no,P7E1,100.879537926055,4.61392711121452,5.15100391319701,ARTR,0.130076306346991,3.16856754131526e-5,0,0.548821398582198,1.70735505048332,0.38058,Historical,Control,Control,11.529446488046784,12.315688427482364,10.486805245792452,3.670879120879121,6.959239130434782,17.366304347826087
1929,Control,424,Q20,54,4,28.4908027394354,0,P7 E1 Q2,no,P7E1,53.1940199213865,3.97394598253667,4.83047563040771,ARTR,0.173766385894835,0,0.0137109712455305,2.50545758489727,0.0492929779953411,0.00146,Historical,Control,Control,11.529446488046784,12.315688427482364,10.486805245792452,3.670879120879121,6.959239130434782,17.366304347826087
