quad,pid,age,year,area0,survives,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,W.intra,date_reformat,QuadName,Grazing,paddock,Group,Treatment,PrecipGroup,climate,size_class,TMAX,VWC,TMAX_scaled,VWC_scaled,Split
Q10,Q10_102,1,1931,0.454718531619317,1,0.0318330216409044,0.304957177856567,0.00346481497131116,0.2011221859906,0.0444873285021655,0.02111,0.304957177856567,15/06/1930,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,32.024193548387096,17.027302554503304,1.8640748621541503,-0.3565814232393799,Training
Q10,Q10_102,2,1932,0.297606821353491,0,0.051237115105335,9.81140946265668e-10,0.00156485406310636,0.064020585070619,0.216666074018272,0.00195,9.81140946265668e-10,15/06/1931,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.55483870967742,17.19396328242066,0.8577566194331449,-0.3309361741800931,Training
Q10,Q10_103,1,1931,-0.588376997347909,0,0.0193309506444793,0.783335487916689,0.00183817886117987,0.51642845475776,0.0434186358100132,0.00313,0.783335487916689,15/06/1930,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,32.024193548387096,17.027302554503304,1.8640748621541503,-0.3565814232393799,Training
Q10,Q10_104,1,1931,3.05313001870794,1,0.00861955975047994,0.634592318651468,0.419831021913726,0.012228637386669,0.811628315461248,0.18891,0.634592318651468,15/06/1930,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,32.024193548387096,17.027302554503304,1.8640748621541503,-0.3565814232393799,Training
Q10,Q10_104,2,1932,2.54894445237864,1,0.161011474557768,0.249372717716259,1.24021748791708,0.0146562823048312,2.32691388648171,0.17334,0.249372717716259,15/06/1931,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.55483870967742,17.19396328242066,0.8577566194331449,-0.3309361741800931,Training
Q10,Q10_104,3,1933,2.81817671391804,1,0,0.0484676474967262,0.20227496791838,0.00237041945128872,1.22552910381748,0.04824,0.0484676474967262,15/06/1932,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.958870967741934,14.663890499663484,1.1344665204228386,-0.7202561265332675,Training
Q10,Q10_104,4,1934,2.86571239647836,1,0.0282806747954392,0.0805694345445804,0.199149647838171,0.0351212880810258,0.25920322850642,0.13771,0.0805694345445804,15/06/1933,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,28.261290322580646,9.981347312555064,-0.7130277286999726,-1.4407917186003414,Training
Q10,Q10_104,5,1935,1.42861449783163,1,0.00194821804300352,0.00683314678035453,0.0438134006833849,0.0180009298605701,0.245452731151424,0.13905,0.00683314678035453,15/06/1934,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.22741935483871,22.914518205336673,0.6335166597488807,0.5493255262743666,Training
Q10,Q10_104,6,1936,2.49315956157844,1,0.0333773471152057,0.00746965972448188,1.43836587207118,0.514805048735094,0.346607078655424,0.22034,0.00746965972448188,15/06/1935,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,31.441935483870967,16.13809796475929,1.4653033082328737,-0.49340953777848207,Training
Q10,Q10_104,7,1937,1.346740793358,1,0.0110706364644795,0.0243772730096246,1.12683219001926,0.0296324034999665,0.056634718799363,1.68985,0.0243772730096246,15/06/1936,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.664516129032258,15.628865743555194,0.9328714827756566,-0.5717686527600795,Training
Q10,Q10_104,8,1938,2.27964983732246,1,0.102016792647936,0.00457216104706505,1.05472697731372,0.0422778062415426,0.0159816434703552,0.2284,0.00457216104706505,15/06/1937,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,29.829032258064515,23.91095482771195,0.3606729649606387,0.7026541818727036,Training
Q10,Q10_104,9,1939,2.07563970390089,1,0.0418789543752832,0.00740993740146765,3.70555481248544,0.0400835187119442,0.401610414643757,0.23597,0.00740993740146765,15/06/1938,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,29.53548387096774,17.332916724874025,0.15963024248509236,-0.3095544384593128,Training
Q10,Q10_104,11,1941,2.46503979690677,1,2.5167782171584e-4,0.0113610132607835,1.25211449151472,0.0389617079009617,0.640231369510051,0.04887,0.0113610132607835,15/06/1940,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,29.59032258064516,21.30905791884496,0.19718767415634825,0.3022821500910438,Training
Q10,Q10_104,12,1942,2.35748996890107,1,0,0.013872862377653,1.75510721192203,0.0284760025412416,0.360053785296625,0.04978,0.013872862377653,15/06/1941,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.403225806451612,20.22675437034739,0.7539213671655542,0.13574055144439892,Training
Q10,Q10_104,16,1946,2.95695576144235,1,0.465996859872543,2.23876705047903,2.91732987116617,0.0540905528627657,0.165762932055797,1.03007,2.23876705047903,15/06/1945,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,26.93709677419355,20.3361413837588,-1.6199292405264774,0.1525726944323873,Training
Q10,Q10_104,17,1947,3.08581210753293,1,0,0.0729818254878304,1.01470830452773,0.0500936047368361,0.729582238963872,0.17714,0.0729818254878304,15/06/1946,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,28.912903225806453,20.224535631004898,-0.2667570700179893,0.13539913854078997,Training
Q10,Q10_104,20,1950,2.84124528420462,1,0,0.030256079953172,0.0945598289477382,0.0554329114177986,2.15294522917113,0.13916,0.030256079953172,15/06/1949,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,28.95,19.89615929238806,-0.24135057212272912,0.08486958011247535,Training
Q10,Q10_104,21,1951,3.16575379510853,1,0,0.0265820428868393,0.063536404765326,0.153326597525461,2.59635753200116,0.57147,0.0265820428868393,15/06/1950,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,29.820967741935483,11.572754152162403,0.3551498132442777,-1.195910844345307,Training
Q10,Q10_104,22,1952,2.89370786375451,1,0,0.0489765436462415,0.612303557445568,0.196943963602835,3.36378844859623,0.51526,0.0489765436462415,15/06/1951,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,27.574193548387097,15.676543254933469,-1.1836002549339448,-0.5644321814203578,Training
Q10,Q10_104,25,1955,2.86950319955926,1,0,0.133699189018669,0.208764721831026,0.11085041323691,1.33827837524318,0.0047,0.133699189018669,15/06/1954,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.251612903225805,15.540034549385046,0.6500861148979638,-0.585437728415725,Training
Q10,Q10_104,26,1956,2.0781274526878,1,0,0.19597493485604,0.0990388072078957,0.160477420247754,0.336829963645142,0.33085,0.19597493485604,15/06/1955,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,29.70806451612903,20.793337561858053,0.27782568921522105,0.22292466038637918,Training
Q10,Q10_104,27,1957,3.34178582081833,1,0,0.0161229570808227,1.025e-4,0.196121229551942,0.0527684877954002,0.15396,0.0161229570808227,15/06/1956,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,29.25483870967742,21.943325917609737,-0.03257543724427684,0.3998813925875968,Training
Q10,Q10_105,1,1931,1.99310890959772,1,0,5.05136720731897,0.00370330990506352,0.0850825852112881,0.834066515225626,0.15554,5.05136720731897,15/06/1930,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,32.024193548387096,17.027302554503304,1.8640748621541503,-0.3565814232393799,Training
Q10,Q10_105,2,1932,1.68860303667482,1,0,1.83714369590957,0.00877755023145278,0.346003439724678,2.934998190127,0.19852,1.83714369590957,15/06/1931,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.55483870967742,17.19396328242066,0.8577566194331449,-0.3309361741800931,Training
Q10,Q10_105,3,1933,0.460120492676136,1,0,0.899349129700783,0.0147190144435201,0.0137122702618037,4.59294574604933,0.05016,0.899349129700783,15/06/1932,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.958870967741934,14.663890499663484,1.1344665204228386,-0.7202561265332675,Training
Q10,Q10_105,4,1934,0.922568631712384,1,0,0.634993699231862,7.07071982976642e-6,0.493745855745202,2.61474260993409,0.4284,0.634993699231862,15/06/1933,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,28.261290322580646,9.981347312555064,-0.7130277286999726,-1.4407917186003414,Training
Q10,Q10_105,5,1935,0.306062881412364,1,0,0.140909859363803,0,0.0994456280783654,1.60151962837803,0.19073,0.140909859363803,15/06/1934,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.22741935483871,22.914518205336673,0.6335166597488807,0.5493255262743666,Training
Q10,Q10_106,1,1931,3.22683923115179,1,0,2.06557185679373,0.00573501647584757,0.0167470416882592,0.586319818072799,0.19111,2.06557185679373,15/06/1930,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,32.024193548387096,17.027302554503304,1.8640748621541503,-0.3565814232393799,Training
Q10,Q10_106,2,1932,3.4824890796127,1,0,0.348095037227611,0.00996452183868329,0.0307392774704337,1.58323806355834,0.14576,0.348095037227611,15/06/1931,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.55483870967742,17.19396328242066,0.8577566194331449,-0.3309361741800931,Training
Q10,Q10_106,3,1933,2.91515193202693,1,0,0.10203433173477,0.00301658180566105,0.00384685563202751,0.483052701833998,0.05234,0.10203433173477,15/06/1932,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.958870967741934,14.663890499663484,1.1344665204228386,-0.7202561265332675,Training
Q10,Q10_106,4,1934,2.7807506145353,1,0,0.116233743459011,3.0909167463539e-4,0.0826133099379582,1.12483309152124,0.00759,0.116233743459011,15/06/1933,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,28.261290322580646,9.981347312555064,-0.7130277286999726,-1.4407917186003414,Training
Q10,Q10_106,5,1935,1.62006774660027,1,0,0.00887680692471189,0,0.00670116574415278,0.192421933477526,0.05052,0.00887680692471189,15/06/1934,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,30.22741935483871,22.914518205336673,0.6335166597488807,0.5493255262743666,Training
Q10,Q10_106,6,1936,1.21019096142756,1,0.03507,0.0404436333023595,0.00763232429916027,0.177595654028477,0.702612285528675,0.44676,0.0404436333023595,15/06/1935,P1 E1 Q4,UG,NA,P1E1,Control,NA,1,large,31.441935483870967,16.13809796475929,1.4653033082328737,-0.49340953777848207,Training
