quad,pid,age,year,area,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,W.intra,QuadName,Grazing,paddock,Group,Treatment,PrecipGroup,area0,climate,date_reformat,size_class,VWC,TMAX,VWC_scaled,TMAX_scaled,Split
Q10,Q10_102,2,1931,2.9833174571749974,0,7.842945945811695,2.0620163354578802e-9,0.9571276643855794,0.00496788694866027,0.1367,2.0620163354578802e-9,P1 E1 Q4,UG,NA,P1E1,Control,NA,1.2923043265661223,1,15/06/1931,large,10.814195057709549,20.696666666666665,-0.8405843547315551,-0.9021067394591368,Training
Q10,Q10_102,3,1932,2.085830383240579,0,3.446757349213033,0.00208598856033982,2.871646218229291,0.28919418336853026,0.05628,0.00208598856033982,P1 E1 Q4,UG,NA,P1E1,Control,NA,2.9833174571749974,1,15/06/1932,large,13.618734269842118,23.24,-0.3258976935071999,0.22835800990775418,Training
Q10,Q10_102,4,1933,2.904177087806774,0.00331636898657298,6.864493890746355,0,10.611394334382661,0.05548522861966572,0.06836,0,P1 E1 Q4,UG,NA,P1E1,Control,NA,2.085830383240579,1,15/06/1933,large,19.07468339922242,22.756666666666668,0.6753734704197237,0.01352525937276292,Training
Q10,Q10_102,5,1934,1.9984728642494276,0,0.49489497158060264,7.397126310593193e-10,1.603470956682396,0.2435126164398853,0.05339000000000001,7.397126310593193e-10,P1 E1 Q4,UG,NA,P1E1,Control,NA,2.904177087806774,1,15/06/1934,large,9.873088015597812,24.31,-1.0132955221360929,0.7039532714369444,Training
Q10,Q10_102,6,1935,3.046881110649089,0,0.4308625020406222,5.059626468460201e-4,0.38299560852444703,0.08495643318048657,0.05196,5.059626468460201e-4,P1 E1 Q4,UG,NA,P1E1,Control,NA,1.9984728642494276,1,15/06/1935,large,17.362591100752212,22.516666666666666,0.3611717416667475,-0.09315031330668248,Training
Q10,Q10_102,7,1936,2.4773632991188324,0.00818826712861639,0.00806475474196729,0.01051551553394087,1.543099034539224,0.19490487043367924,0.06430999999999999,0.01051551553394087,P1 E1 Q4,UG,NA,P1E1,Control,NA,3.046881110649089,1,15/06/1936,large,10.12984867115442,20.163333333333334,-0.9661750240626431,-1.1391635676356793,Training
Q10,Q10_102,8,1937,2.6941777268937526,0.00771747042201325,0.11473258294327796,0.02384852748454123,1.35246840673679,0.11647434506286727,0.07884,0.02384852748454123,P1 E1 Q4,UG,NA,P1E1,Control,NA,2.4773632991188324,1,15/06/1937,large,13.09152850610452,25.64666666666667,-0.42265004881123197,1.2980769470544076,Training
Q10,Q10_102,9,1938,3.3766785725831516,0.04150244161925807,0.01296571335868782,0.00898000067147811,3.895472052759428,0.23109738162641597,0.06472,0.00898000067147811,P1 E1 Q4,UG,NA,P1E1,Control,NA,2.6941777268937526,1,15/06/1938,large,17.879565029672584,21.996666666666666,0.4560463593098136,-0.32428072077881204,Training
Q10,Q10_102,10,1939,3.089003271355231,0.15753406908109463,0.11573912953447216,0.06797526541972532,1.5158132353937477,0.22724360005231123,0.20395999999999995,0.06797526541972532,P1 E1 Q4,UG,NA,P1E1,Control,NA,3.3766785725831516,1,15/06/1939,large,11.750390510145406,24.156666666666666,-0.6687745581050214,0.6357994333361886,Training
Q10,Q10_102,11,1940,3.2934674114838685,0.20868168713906865,0.06760547101535977,0.06062976178832365,2.2376366813256165,0.7697309464251709,0.09749,0.06062976178832365,P1 E1 Q4,UG,NA,P1E1,Control,NA,3.089003271355231,1,15/06/1940,large,12.84234008925216,25.543333333333333,-0.4683808960501266,1.2521471865952014,Training
