"","species","quad","year","trackID","age","logarea","survives","distEdgeMin","allEdge","QuadName","Grazing","Group","W.ARTR","W.HECO","W.POSE","W.PSSP","W.allcov","W.allpts","Treatment","Period","Treatment2","Treatment3"
"1","ARTR","Q1",1932,3,1,5.05122480039534,0,5.76971283708805,0,"E1 Q1","no","E1",0,0,0,0.00153646757303362,0.282132162002554,0.05146,"Control","Historical","Control","Control"
"2","ARTR","Q1",1932,1,1,3.85371148469668,1,7.19579418273497e-09,0,"E1 Q1","no","E1",0,0,0,0.0253136248856084,5.14194581818352,0.04953,"Control","Historical","Control","Control"
"3","ARTR","Q1",1932,2,1,4.87042237376932,1,2.24188783561145,0,"E1 Q1","no","E1",1.67688085639384e-16,0,0,0.000694635221357248,2.17242105819306,3e-05,"Control","Historical","Control","Control"
"4","ARTR","Q1",1932,5,1,4.40133178922208,1,-1.95275760006552e-08,0,"E1 Q1","no","E1",9.29958332562819e-16,0,0.257524110268004,5.99446989349464e-05,2.81931760092447,0.00674,"Control","Historical","Control","Control"
"5","ARTR","Q1",1932,4,1,4.91566165520903,1,7.67280112929136,0,"E1 Q1","no","E1",1.39493749884423e-14,0,0.190915898431743,0.0607079283970838,0.962241758015007,0.00014,"Control","Historical","Control","Control"
"6","ARTR","Q1",1933,6,1,4.90470229922185,1,11.6781230081257,0,"E1 Q1","no","E1",0.103313757631102,0,0,0.0136704616478651,11.1638188674078,0.00154,"Control","Historical","Control","Control"
"7","ARTR","Q1",1933,5,2,4.5816819831631,1,9.16895714908605e-09,0,"E1 Q1","no","E1",0.0283109273684533,0,0,0.00073121692671608,0.376188990551697,0.05371,"Control","Historical","Control","Control"
"8","ARTR","Q1",1933,4,2,5.12703138369177,1,5.69469411341553,0,"E1 Q1","no","E1",8.41282599139958e-17,0.270195242344796,0.0174139486884272,0.27480151207407,4.78689687581466,0.00482,"Control","Historical","Control","Control"
"9","ARTR","Q1",1933,1,2,4.12203240049024,1,-1.85389268381186e-08,0,"E1 Q1","no","E1",0.140158356939895,0,0,0.0211055089764252,1.81659409349401,3e-05,"Control","Historical","Control","Control"
"10","ARTR","Q1",1933,7,1,3.06196382667458,1,5.85136751299147,0,"E1 Q1","no","E1",0.559417144486699,0,0.052410389117776,5.71856714815153e-05,0.169770678006634,0.00025,"Control","Historical","Control","Control"
"11","ARTR","Q1",1933,2,2,5.49206434133744,1,2.50678705940615,0,"E1 Q1","no","E1",0.0733801702513463,0,0.0385545142045272,0.000265930077291125,2.07962037398491,3e-05,"Control","Historical","Control","Control"
"12","ARTR","Q1",1934,5,3,3.57323242366392,1,0.126283954762869,0,"E1 Q1","no","E1",1.62742708198493e-15,0,0.000344083141470279,0.00215459951348843,0.0618698073690112,0.425,"Control","Historical","Control","Control"
"13","ARTR","Q1",1934,1,3,3.44592390059219,1,2.99650424578031,0,"E1 Q1","no","E1",0.00110567320555363,0.0031075,0,0.0257583912546497,0.368231787917472,0.04956,"Control","Historical","Control","Control"
"14","ARTR","Q1",1934,2,3,5.05145571820835,1,5.35933396468924,0,"E1 Q1","no","E1",0.0283588617302772,0,0.0154577210405005,0.00430248367430434,1.10956751812565,3e-05,"Control","Historical","Control","Control"
"15","ARTR","Q1",1934,4,3,4.56609024526232,1,6.97301208435003,0,"E1 Q1","no","E1",0,0.0393815210726837,0.0054778789656767,0.052490802858247,5.41345570268281,0.01676,"Control","Historical","Control","Control"
"16","ARTR","Q1",1934,6,2,3.68781852772684,1,20.5665886238811,0,"E1 Q1","no","E1",0.273306429507778,1.26211241147859e-05,0,0.00291718337657622,0.597161294916139,0.00143,"Control","Historical","Control","Control"
"17","ARTR","Q1",1934,7,2,3.97957019272154,1,0.281508173798386,0,"E1 Q1","no","E1",0,0,0,0.0246909642017297,0.172957809376917,0.05625,"Control","Historical","Control","Control"
"18","ARTR","Q1",1934,9,1,4.01574539676078,1,1.40410572058158e-08,0,"E1 Q1","no","E1",0.116284720245471,0,0.0171276030385969,0.000156671935846721,0.15009684629229,0.0153,"Control","Historical","Control","Control"
"19","ARTR","Q1",1935,15,1,-1.38629436111989,0,39.9942558502892,0,"E1 Q1","no","E1",0.0313554214859493,0.016797279503189,0.00146402787633647,0.00752526668990166,19.6896966885138,0.0202,"Control","Historical","Control","Control"
"20","ARTR","Q1",1935,1,4,3.98723415528593,1,-1.71808522964056e-08,0,"E1 Q1","no","E1",5.17333987066006e-05,0.0108675,0,0.142061172131691,1.20559560423848,0.06822,"Control","Historical","Control","Control"
"21","ARTR","Q1",1935,14,1,-1.38629436111989,0,36.6830480347055,0,"E1 Q1","no","E1",0.0130385616672008,7.41415115214912e-06,0.0245282635546495,0.0201185559527949,0.627101410133797,0.00055,"Control","Historical","Control","Control"
"22","ARTR","Q1",1935,4,4,5.29306963898977,1,4.80641910950962,0,"E1 Q1","no","E1",0.0846300757275484,0.0330262146793574,0.0164826696773948,0.197001331145076,1.38569351322285,0.00195,"Control","Historical","Control","Control"
"23","ARTR","Q1",1935,16,1,-1.38629436111989,0,4.6283097236021,0,"E1 Q1","no","E1",0,0,0.0316606674109153,0.463521059487558,0.0880748602341681,0,"Control","Historical","Control","Control"
"24","ARTR","Q1",1935,9,2,4.69503151470799,1,-9.78430114706441e-09,0,"E1 Q1","no","E1",0.219423060603207,0,0.631550479844581,0.000123453039058925,0.154600980570739,0.0049,"Control","Historical","Control","Control"
"25","ARTR","Q1",1935,12,1,-1.38629436111989,0,7.5185253512938,0,"E1 Q1","no","E1",7.43053227224393,2.23540379040408e-06,0,0.0147455738932712,0.0589833123257818,0.00344,"Control","Historical","Control","Control"
"26","ARTR","Q1",1935,6,3,4.38062014245477,1,17.548323030493,0,"E1 Q1","no","E1",0.533133641158823,6.72389040216857e-05,0.0188840236952941,0.0125994824052881,1.6432201668256,0.00143,"Control","Historical","Control","Control"
"27","ARTR","Q1",1935,5,4,4.86091428538412,1,0.13938941034381,0,"E1 Q1","no","E1",0,0,0.000619706082900029,0.00142394621977528,0.211912791051248,0.58163,"Control","Historical","Control","Control"
"28","ARTR","Q1",1935,2,4,5.96627046232345,1,-1.71808522964056e-08,0,"E1 Q1","no","E1",0.0886554030215962,0,0.0260078398906973,0.0079668481417866,1.93051559309225,3e-05,"Control","Historical","Control","Control"
"29","ARTR","Q1",1935,7,3,4.9791979482908,1,5.79831131017615,0,"E1 Q1","no","E1",0.0303257349122134,0,0,0.00679017036456795,0.418950254699754,1.04862,"Control","Historical","Control","Control"
"30","ARTR","Q1",1935,11,1,2.39741294237702,1,-7.08493264056642e-09,0,"E1 Q1","no","E1",0.425117469991011,0.0462401655643586,0.001555,4.26169030857314,16.8461323781748,0.01533,"Control","Historical","Control","Control"
"31","ARTR","Q1",1936,9,3,3.14901919694296,1,1.42600661987435,0,"E1 Q1","no","E1",0.174181382056525,3.25e-05,0.563329358144082,0.00102438940068522,0.143955222335045,0.38254,"Control","Historical","Control","Control"
"32","ARTR","Q1",1936,6,4,4.49225892306722,1,12.5422175299126,0,"E1 Q1","no","E1",0.157149042206692,0,0.00973000732331234,0.0180562604047499,0.0402662364240467,0.00014,"Control","Historical","Control","Control"
"33","ARTR","Q1",1936,1,5,3.48889326860948,1,1.71071405929979e-08,0,"E1 Q1","no","E1",0.000936962243563143,0.0823826698653299,0,0.128353412330966,2.09060510652589,0.0153,"Control","Historical","Control","Control"
"34","ARTR","Q1",1936,5,5,4.94413168503225,1,0.158175336434255,0,"E1 Q1","no","E1",0,3.25e-05,0.0424534340692793,0.270014878976638,0.0295933466001566,1.17044,"Control","Historical","Control","Control"
"35","ARTR","Q1",1936,2,5,5.49307970035374,1,1.71071405929979e-08,0,"E1 Q1","no","E1",0.0141930686722911,0.18285403063775,0.0186871201489555,0.0189390796677373,0.629681929263898,1.02009,"Control","Historical","Control","Control"
"36","ARTR","Q1",1936,7,4,4.46212178023627,1,5.93004880250415,0,"E1 Q1","no","E1",0.00873407049536399,0.00402111601537031,0,0.385878393379993,0.382891872029783,0.13778,"Control","Historical","Control","Control"
"37","ARTR","Q1",1936,4,5,5.21102589312274,1,5.55815818356918,0,"E1 Q1","no","E1",0.0651262176659656,0.136532340358103,0.0104599953839784,0.135090669831772,3.82226625132455,0.01725,"Control","Historical","Control","Control"
"38","ARTR","Q1",1937,1,6,3.68390312663837,1,8.71821725922928e-09,0,"E1 Q1","no","E1",0.190588747334511,0.0684958428296194,2.75e-05,0.110353817185493,2.62045134326382,0.02012,"Control","Historical","Control","Control"
"39","ARTR","Q1",1937,6,5,5.24104305875624,1,6.85443863455585,0,"E1 Q1","no","E1",0.236139611621318,0,0.00284154529333083,0.00483981171325854,3.85743628979271,0.00154,"Control","Historical","Control","Control"
"40","ARTR","Q1",1937,5,6,5.00531424933496,1,0.114279265936233,0,"E1 Q1","no","E1",2.52384779741988e-16,0,0.0132899935327695,0.000641428459900482,0.315872420677227,0.05443,"Control","Historical","Control","Control"
"41","ARTR","Q1",1937,9,4,3.1745404255232,0,2.01063474479416,0,"E1 Q1","no","E1",1.00292259467303,0,0.144756445161453,0.00013481534801237,0.10621688760299,0.00143,"Control","Historical","Control","Control"
"42","ARTR","Q1",1937,4,6,5.27152179796305,1,9.71242457442586,0,"E1 Q1","no","E1",0,0.088045766539745,0.00636162819456682,0.151539329886785,5.47907828901337,0.00179,"Control","Historical","Control","Control"
"43","ARTR","Q1",1937,7,5,5.14765908455539,1,5.37299565044475,0,"E1 Q1","no","E1",0.0883898416185948,0.155030473286571,0,0.237097661512346,0.0435278844339731,0.2079,"Control","Historical","Control","Control"
"44","ARTR","Q1",1937,2,6,6.17656549337343,1,8.71821725922928e-09,0,"E1 Q1","no","E1",0.0185380557931826,0.0868135312506195,2.75e-05,0.00694925448332131,1.0782837629923,0,"Control","Historical","Control","Control"
