quad,pid,age,year,area,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,W.intra,QuadName,Grazing,paddock,Group,Treatment,PrecipGroup,area0,climate,date_reformat,size_class,VWC,TMIN,VWC_scaled,TMIN_scaled,Split
Q1,Q1_23,2,1946,-0.04266291469847362,0.1013084112167401,4.8505801581308665,0.01534706682117718,0.22079327966786544,8.628708158352309e-4,0,0.1013084112167401,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/1946,small,14.01330926421167,-6.213333333333333,0.34776435808241457,-0.25413895936507325,Training
Q10,Q10_19,2,1937,-1.3862943611198906,0.31243779613081857,0.24058683046893237,0.0340125,0.7107498550817287,0.00411070547744342,0.8767900000000001,0.31243779613081857,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611198906,1,15/06/1937,small,12.352873436352834,-8.36,-0.01582395912827003,-1.1921794882377654,Training
Q10,Q10_19,3,1938,2.153693645486137,0.38883001585764376,0.4819716451601461,0.02076605419075518,0.5668584532270682,0.00314207415466835,0.10593,0.38883001585764376,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611198906,1,15/06/1938,small,10.812608483942064,-6.703333333333334,-0.353098265493838,-0.4682569061729709,Training
Q12,Q12_10,4,1933,3.6946302199630217,0.01617711984520074,0,0,5.5872609212225814,0.9231217019268508,0.0734,0.01617711984520074,P1 Q2,G,3,P1,Control,NA,-1.3862943611198906,1,15/06/1933,small,9.88402848981689,-7.826666666666666,-0.5564309277954265,-0.9591259406917549,Training
Q12,Q12_115,4,1955,-1.3862943611198906,0,0,0.01075664186093276,9.449437334623015,0.05342954748607288,0.19345,0,P1 Q2,G,3,P1,Control,NA,-1.3862943611198906,1,15/06/1955,small,10.43555316603233,-2.363333333333333,-0.4356626779414566,1.4282163369826901,Training
Q12,Q12_179,2,1957,3.0474042878988312,0,0,0.0163228481506729,0.9771903523856292,0.0455303586803252,0.39976,0,P1 Q2,G,3,P1,Control,NA,-1.3862943611198906,1,15/06/1957,small,10.661085020968883,-8.526666666666667,-0.38627760310870785,-1.2650087218458943,Training
Q12,Q12_25,12,1957,3.0200245476823837,1.2576606422953766e-16,0,0,1.3309960168727917,6.25e-6,1.01541,1.2576606422953766e-16,P1 Q2,G,3,P1,Control,NA,-1.3862943611198906,1,15/06/1957,small,10.661085020968883,-8.526666666666667,-0.38627760310870785,-1.2650087218458943,Training
Q12,Q12_50,4,1955,-1.3862943611198906,0.0180827318795393,0,0.08214911189125618,0.09240557117657527,0.17041571741188025,0.42752,0.0180827318795393,P1 Q2,G,3,P1,Control,NA,-1.3862943611198906,1,15/06/1955,small,10.43555316603233,-2.363333333333333,-0.4356626779414566,1.4282163369826901,Training
Q12,Q12_60,4,1955,-1.3862943611198906,0.01511462118579162,0,0.7339857239195948,0.6479556497879149,0.1791965919770773,0.59756,0.01511462118579162,P1 Q2,G,3,P1,Control,NA,-1.3862943611198906,1,15/06/1955,small,10.43555316603233,-2.363333333333333,-0.4356626779414566,1.4282163369826901,Training
Q12,Q12_60,5,1956,-1.3862943611198906,0,0,0.09476436505363084,0.6502579614442957,0.39365072306987353,0.0888,0,P1 Q2,G,3,P1,Control,NA,-1.3862943611198906,1,15/06/1956,small,10.832778729744206,-2.06,-0.3486815541666779,1.5607655421494833,Training
Q12,Q12_9,4,1933,1.7017927183383461,0.11353351117679998,0,0,2.133705601210341,4.72445479313758,0.15168,0.11353351117679998,P1 Q2,G,3,P1,Control,NA,-1.3862943611198906,1,15/06/1933,small,9.88402848981689,-7.826666666666666,-0.5564309277954265,-0.9591259406917549,Training
Q13,Q13_12,4,1933,3.9906471822324137,0,0,3.1318333029384466e-4,2.905330448531799,5.982845203340258,0.04667,0,P1 Q3,G,2,P1,Control,NA,-1.3862943611198906,1,15/06/1933,small,9.88402848981689,-7.826666666666666,-0.5564309277954265,-0.9591259406917549,Training
Q13,Q13_31,2,1947,-1.3862943611198906,0,0.01197959073955621,1.5196683603722925,14.049331561856825,0.5550108022417861,0.04813,0,P1 Q3,G,2,P1,Control,NA,-1.3862943611198986,1,15/06/1947,small,12.365208072461735,-6.633333333333334,-0.013123023921382312,-0.4376686280575569,Training
