quad,pid,age,year,area,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,W.intra,QuadName,Grazing,paddock,Group,Treatment,PrecipGroup,area0,climate,date_reformat,size_class,TAVG,VWC,TAVG_scaled,VWC_scaled,Split
Q10,Q10_128,2,1935,1.8235289305567075,34.53843882036598,0.5520843057510255,0,0.1628448294859776,0.1207765392055756,1.5341600000000002,0,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.0799430307989284,1,15/06/1935,small,14.353260869565217,22.3216756260914,0.5213992778719237,0.708841342789898,Training
Q10,Q10_129,2,1935,0.9165247221304756,0,0.10865422605236108,0.02141747292278522,0.31628857286724066,0.9491486822703232,0.36522,0.02141747292278522,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.0936573986050875,1,15/06/1935,small,14.353260869565217,22.3216756260914,0.5213992778719237,0.708841342789898,Training
Q10,Q10_139,2,1938,-0.8097819178641601,0.7717119047482716,0.1603016632101042,3.682246181524988e-4,1.7367407895080047,0.00923604730133289,2.32265,3.682246181524988e-4,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611199465,1,15/06/1938,small,13.861413043478262,8.697779425514636,0.07481850041758595,-1.1330368609517718,Training
Q10,Q10_140,2,1938,-1.3862943611199186,0,4.911636577019549e-5,0.4683900414897665,2.989004550615349,11.39208526489583,0.06688,0.4683900414897665,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611199186,1,15/06/1938,small,13.861413043478262,8.697779425514636,0.07481850041758595,-1.1330368609517718,Training
Q10,Q10_142,2,1938,-0.6931471805599593,0,7.416868074745394e-4,0.3015042302309101,2.0879658390569413,7.644656107745247,0.06548999999999999,0.3015042302309101,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611199186,1,15/06/1938,small,13.861413043478262,8.697779425514636,0.07481850041758595,-1.1330368609517718,Training
Q10,Q10_142,4,1940,0.07629178926000542,0.2454982824516348,0.01091508289356994,0.4199071534156059,2.077335355544475,11.083707871234576,0.44313,0.4199071534156059,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611198906,1,15/06/1940,small,14.506521739130434,17.141651194700856,0.6605548350455411,0.008529629124341187,Training
Q10,Q10_142,6,1942,-0.7801159013327674,0.02969078771326093,0.01240093805231579,0.34317462048331604,0.273442313173714,2.7416160646235532,0.58273,0.34317462048331604,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611198906,1,15/06/1942,small,14.728260869565217,18.504150920728364,0.8618862794669447,0.1927323352391912,Training
Q10,Q10_144,2,1938,-1.3862943611198746,0.2757495641050094,6.233077512288745e-4,1.73596750714728e-5,0.0127700460270389,7.726075220164181e-4,0.20427,1.73596750714728e-5,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611198906,1,15/06/1938,small,13.861413043478262,8.697779425514636,0.07481850041758595,-1.1330368609517718,Training
Q10,Q10_144,3,1939,-0.67011359498932,0.3762984374151255,1.3223922958495652e-4,1.1128185023573172e-4,9.323203698162032e-4,0.00565707705048899,0.5501499999999999,1.1128185023573172e-4,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611198746,1,15/06/1939,small,14.61304347826087,17.295207747039388,0.7572728818754322,0.029289657139094108,Training
Q10,Q10_156,5,1946,0.9275198314622366,0,0.32236992446424245,0.44472700636579504,3e-5,7.1625e-4,0.7054,0.44472700636579504,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611198826,1,15/06/1946,small,14.269565217391305,18.855461539507804,0.445406526791297,0.24022765977384639,Training
Q10,Q10_157,5,1946,2.4722117687290517,43.3713754946979,0.1471773204002196,0.13987198344050294,0.01160847273829741,1.179277081075067,0.66939,0.13987198344050294,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3423896093394996,1,15/06/1946,small,14.269565217391305,18.855461539507804,0.445406526791297,0.24022765977384639,Training
Q10,Q10_209,2,1947,-1.3862943611198906,0,0.13660975687538968,1.1776056869252105,7.638386605660558e-4,0.00452297234330043,0.00118,1.1776056869252105,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611198826,1,15/06/1947,small,13.196195652173913,8.466281212929657,-0.5291758328466263,-1.164334186304807,Training
Q10,Q10_210,2,1947,-0.16708282050266798,0,0.1690244445867873,0.8121191339648678,6.589557324264113e-4,0.00443741284617306,8.8e-4,0.8121191339648678,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611198906,1,15/06/1947,small,13.196195652173913,8.466281212929657,-0.5291758328466263,-1.164334186304807,Training
Q10,Q10_213,2,1947,-1.3862943611199066,0,0.23994238040352076,0.620476285811558,0.00718432671440838,0.3728459254170906,0.00146,0.620476285811558,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611199186,1,15/06/1947,small,13.196195652173913,8.466281212929657,-0.5291758328466263,-1.164334186304807,Training
