quad,pid,age,year,area,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,W.intra,QuadName,Grazing,paddock,Group,Treatment,PrecipGroup,area0,climate,date_reformat,size_class,TMAX,VWC,TMAX_scaled,VWC_scaled,Split
Q1,Q1_10,2,1936,-1.3862943611198906,1.1656102752047235,0.09178088403633668,0.05770782781406378,0.00317522240329314,21.97159317927977,0.06197,0.09178088403633668,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/1936,small,0.28709677419354845,9.465590620310323,0.7149623271522998,-0.3821588090341317,Training
Q1,Q1_10,3,1937,-1.3862943611198906,1.8333521279044704,0.01375001712176844,0.01300896426067226,0.0477696504330148,16.494224628521767,0.06197,0.01375001712176844,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/1937,small,-0.7225806451612902,9.89545758050339,0.2699243131378772,-0.26594207044788853,Training
Q1,Q1_10,4,1938,-1.1973874039196957,38.4647520215574,0.00986368196575648,0.06002825809785089,0.00399692759219119,44.70552622295444,0.10864,0.00986368196575648,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/1938,small,0.03870967741935488,10.00689153383964,0.6054801320113716,-0.23581532933083643,Training
Q1,Q1_10,5,1939,-0.10712381198814454,4.321211142638061,0.02678272340255183,0.1468319574275755,0.00388564737827883,2.8667698096443104,0.04667,0.02678272340255183,E1 Q1,UG,NA,E1,Control,NA,-1.1973874039196957,1,15/06/1939,small,-0.7483870967741937,10.048347315462628,0.2585495396167416,-0.22460754603527147,Training
Q1,Q1_11,2,2008,1.6244859780986562,0,5.000000001651719e-6,0,5.349421155403422e-4,1.1378682705784722,0.51512,5.000000001651719e-6,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/2008,small,-4.332258064516129,10.012930332815749,-1.3211221331309377,-0.23418270903904642,Training
Q1,Q1_13,2,2008,-1.3862943611198906,0,3.018857830995644,0,0,0.00168698692087455,0.02245,3.018857830995644,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/2008,small,-4.332258064516129,10.012930332815749,-1.3211221331309377,-0.23418270903904642,Training
Q1,Q1_14,2,2008,1.5117028808813593,0,0.18903747052925668,3.3272447937695047,2.1596839223342785,1.9668089496014032,0.02473999999999999,0.18903747052925668,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/2008,small,-4.332258064516129,10.012930332815749,-1.3211221331309377,-0.23418270903904642,Training
Q1,Q1_19,2,1937,-1.3862943611199186,2.1768997984119167,0.05159603425265226,0,0.00183117415472712,0.23533523861956507,7.7e-4,0.05159603425265226,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611199465,1,15/06/1937,small,-0.7225806451612902,9.89545758050339,0.2699243131378772,-0.26594207044788853,Training
Q1,Q1_22,2,1937,-1.3862943611199465,3.804012956109384,0.2530441117744167,0,0.02832627858631251,0.7672791462634396,0.10771,0.2530441117744167,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611199465,1,15/06/1937,small,-0.7225806451612902,9.89545758050339,0.2699243131378772,-0.26594207044788853,Training
Q1,Q1_22,5,1940,-0.9161423669666023,5.8800079694985214,3.66567554088704e-10,0.00613999005860478,0.0296498047879466,0.09004456864539266,0.00492999999999999,3.66567554088704e-10,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611199465,1,15/06/1940,small,2.5483870967741944,11.406951394736218,1.7116768569417902,0.14269803858613753,Training
Q1,Q1_25,4,1939,-0.6931471805599813,0.5163571737317381,0.13480765389993252,0,0.4268020966113353,1.3237635763849671,0.37915,0.13480765389993252,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611199345,1,15/06/1939,small,-0.7483870967741937,10.048347315462628,0.2585495396167416,-0.22460754603527147,Training
Q1,Q1_27,2,1937,-0.6931471805599873,0.3225114631033055,2.09832151654155e-14,0,3.4711511021544865,4.556276284945492,0.18421,2.09832151654155e-14,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611199465,1,15/06/1937,small,-0.7225806451612902,9.89545758050339,0.2699243131378772,-0.26594207044788853,Training
Q1,Q1_29,2,1937,-1.3862943611198906,0.918632565154139,0.12618260315150023,0.20546751447908565,0.22960601366528177,40.04339510725484,1.13594,0.12618260315150023,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/1937,small,-0.7225806451612902,9.89545758050339,0.2699243131378772,-0.26594207044788853,Training
Q1,Q1_29,3,1938,-1.3862943611198906,2.357182528017238,0.16847004066204707,0.44663456732210566,4.72541478813755e-4,12.315356076187726,0.52896,0.16847004066204707,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/1938,small,0.03870967741935488,10.00689153383964,0.6054801320113716,-0.23581532933083643,Training
