quad,pid,age,year,area,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,W.intra,QuadName,Grazing,paddock,Group,Treatment,PrecipGroup,area0,climate,date_reformat
Q1,Q1_1,2,1934,-0.46036034633600215,0.45669115846018254,0.7123604457508906,1.4717678183901717e-4,5.67574125454336e-5,0.34824186729817597,0,0.7123604457508906,E1 Q1,UG,NA,E1,Control,NA,0.7052557978957965,1,15/06/1934
Q1,Q1_1,3,1935,-1.0125050204885633,0.2421409845657813,0.5196539051483787,6.31698059145309e-5,4.9628685294589006e-5,0.1323841612859483,0,0.5196539051483787,E1 Q1,UG,NA,E1,Control,NA,-0.46036034633600215,1,15/06/1935
Q1,Q1_1,2,2008,3.1746202861726402,0,0.00722636800168124,0,1.7549382628144656,8.898314477381201e-5,0.18496999999999997,0.00722636800168124,E1 Q1,UG,NA,E1,Control,NA,4.48417181650777,1,15/06/2008
Q1,Q1_1,3,2009,3.9101640194011775,0,0.03614236199136358,0.5199868562363499,1.3156060539865349,0.06459305027709272,0.1081,0.03614236199136358,E1 Q1,UG,NA,E1,Control,NA,3.1746202861726402,1,15/06/2009
Q1,Q1_10,6,1940,1.1918382098438254,4.321211142638061,0.02678272340255183,0.1468319574275755,0.00388564737827883,2.8667698096443104,0.04667,0.02678272340255183,E1 Q1,UG,NA,E1,Control,NA,-0.10712381198814454,1,15/06/1940
Q1,Q1_10,7,1941,0.6950346257263587,15.838845719251022,0.03375851958351081,0.10331986093179028,0.00345540481783073,0.7906951603006847,0.07727,0.03375851958351081,E1 Q1,UG,NA,E1,Control,NA,1.1918382098438254,1,15/06/1941
Q1,Q1_10,8,1942,0.893978665488515,46.09178607967228,0.02737737166413362,0.05613728048873303,0.0375192853659272,0.0555580216687237,0,0.02737737166413362,E1 Q1,UG,NA,E1,Control,NA,0.6950346257263587,1,15/06/1942
Q1,Q1_10,12,1946,3.305999408061355,43.270132141701005,0.24190891579550697,4.593898905009394e-4,3.7908014400341505e-4,0.03698806533582908,0,0.24190891579550697,E1 Q1,UG,NA,E1,Control,NA,1.4004830187610715,1,15/06/1946
Q1,Q1_10,13,1947,3.136822771049536,45.076550998959014,0.7287058069055024,1.3515225999851014e-4,3.161398591777899e-4,0.01087930865916565,0.13594,0.7287058069055024,E1 Q1,UG,NA,E1,Control,NA,3.305999408061355,1,15/06/1947
Q1,Q1_10,16,1950,2.9702347671130593,0.08830123525885683,0.22953352988119108,3.6861036136352704e-5,1.9353063328829024e-5,0.01946993625188875,0.00184,0.22953352988119108,E1 Q1,UG,NA,E1,Control,NA,3.61372808293203,1,15/06/1950
Q1,Q1_10,17,1951,3.413639569160962,2.181167676074768,1.7977811509744746,2.8882083537265937e-5,5.258107146553e-5,0.01364852118988218,0.00622,1.7977811509744746,E1 Q1,UG,NA,E1,Control,NA,2.9702347671130593,1,15/06/1951
Q1,Q1_10,18,1952,3.610289810196818,0.9033857385962466,0.5873765059556199,1.564528580611242e-5,4.205990918000141e-5,0.01078946455119745,0.13635,0.5873765059556199,E1 Q1,UG,NA,E1,Control,NA,3.413639569160962,1,15/06/1952
Q1,Q1_10,2,2008,4.081935107087211,0,0.00214623636542817,0.02412205937053313,0,0,1.1e-4,0.00214623636542817,E1 Q1,UG,NA,E1,Control,NA,4.221682831320571,1,15/06/2008
Q1,Q1_10,3,2009,4.534976139349134,0,0.00238876702914219,0.7768130640935178,0,0,0,0.00238876702914219,E1 Q1,UG,NA,E1,Control,NA,4.081935107087211,1,15/06/2009
